candidate_id,rank,score,reasoning
CAND_0081846,1,0.979999,"Lead AI Engineer with 6.7 years in Jaipur, Rajasthan; retrieval, semantic search, vector search plus Vector Search, Recommendation Systems, Information Retrieval. Fits the JD through senior AI title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0077337,2,0.977904,"Staff Machine Learning Engineer with 7.0 years in Kochi, Kerala; retrieval, semantic search, recommendation plus Information Retrieval, Recommendation Systems, Sentence Transformers. Fits the JD through senior ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0005260,3,0.919430,"Senior NLP Engineer with 5.2 years in Chennai, Tamil Nadu; retrieval, vector search, ranking plus Semantic Search, Information Retrieval, Embeddings. Fits the JD through senior ML/NLP title, product-company exposure, and availability signals (relocation ok; active 52d ago)."
CAND_0018499,4,0.915014,"Senior Machine Learning Engineer with 7.2 years in Noida, Uttar Pradesh; retrieval, ranking, embedd plus Recommendation Systems, Embeddings, Information Retrieval. Fits the JD through senior ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0071974,5,0.890112,"Senior AI Engineer with 7.8 years in Vizag, Andhra Pradesh; retrieval, recommendation, ranking plus Embeddings, Information Retrieval, Sentence Transformers. Fits the JD through senior AI title, product-company exposure, and availability signals (open to work; 76% recruiter response)."
CAND_0077285,6,0.886569,"Recommendation Systems Engineer with 5.5 years in Ahmedabad, Gujarat; recommendation, ranking, embedd plus Information Retrieval, Embeddings, Sentence Transformers. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; active 59d ago)."
CAND_0008425,7,0.871398,"Senior NLP Engineer with 7.8 years in Kolkata, West Bengal; retrieval, semantic search, recommendation plus Information Retrieval, Recommendation Systems, Sentence Transformers. Fits the JD through senior ML/NLP title, product-company exposure, and availability signals (open to work; active 67d ago)."
CAND_0002025,8,0.844850,"Senior AI Engineer with 5.9 years in Trivandrum, Kerala; retrieval, recommendation, ranking plus Recommendation Systems, FAISS, Sentence Transformers. Fits the JD through senior AI title, product-company exposure, and availability signals (open to work; active 36d ago)."
CAND_0041669,9,0.835122,"Recommendation Systems Engineer with 8.0 years in Noida, Uttar Pradesh; retrieval, recommendation, ranking plus Information Retrieval, Semantic Search, FAISS. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; 77% recruiter response)."
CAND_0055905,10,0.832221,"Senior Machine Learning Engineer with 8.1 years in London; retrieval, semantic search, vector search plus Information Retrieval, Embeddings, Vector Search. Fits the JD through senior ML title, product-company exposure, and availability signals (open to work; active 45d ago)."
CAND_0066376,11,0.813642,"Applied ML Engineer with 5.7 years in Mumbai, Maharashtra; retrieval, semantic search, recommendation plus Information Retrieval, Semantic Search, Recommendation Systems. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; active 59d ago)."
CAND_0052328,12,0.812553,"Recommendation Systems Engineer with 6.5 years in Pune, Maharashtra; retrieval, recommendation, ranking plus Vector Search, Sentence Transformers, Recommendation Systems. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; 79% recruiter response)."
CAND_0088025,13,0.811558,"Staff Machine Learning Engineer with 8.6 years in Jaipur, Rajasthan; retrieval, recommendation, ranking plus Pinecone, RAG, Python. Fits the JD through senior ML title, product-company exposure, and availability signals (open to work; active 48d ago)."
CAND_0081686,14,0.802433,"Search Engineer with 6.0 years in Austin; retrieval, semantic search, recommendation plus Semantic Search, Embeddings, Milvus. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (active 67d ago; 91% recruiter response)."
CAND_0070398,15,0.795641,"Machine Learning Engineer with 7.2 years in Kochi, Kerala; retrieval, semantic search, recommendation plus Information Retrieval, Recommendation Systems, Embeddings. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0051630,16,0.785561,"Machine Learning Engineer with 6.0 years in Kolkata, West Bengal; retrieval, semantic search, recommendation plus Information Retrieval, Recommendation Systems, Embeddings. Fits the JD through applied ML title, product-company exposure, and availability signals (90d notice and 51% recruiter response)."
CAND_0046525,17,0.778860,"Senior Machine Learning Engineer with 6.1 years in Pune, Maharashtra; retrieval, ranking, embedd plus Information Retrieval, Sentence Transformers, NLP. Fits the JD through senior ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0042506,18,0.768324,"Search Engineer with 4.2 years in Mumbai, Maharashtra; retrieval, semantic search, recommendation plus Information Retrieval, Semantic Search, FAISS. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; active 40d ago)."
CAND_0026532,19,0.761987,"Recommendation Systems Engineer with 4.8 years in Chennai, Tamil Nadu; retrieval, semantic search, recommendation plus Information Retrieval, Semantic Search, Embeddings. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0015578,20,0.758990,"AI Engineer with 5.4 years in Delhi, Delhi; recommendation, ranking, embedd plus Embeddings, FAISS, Pinecone. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0000031,21,0.757989,"Recommendation Systems Engineer with 6.0 years in Hyderabad, Telangana; retrieval, recommendation, ranking plus Embeddings, Information Retrieval, Sentence Transformers. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0039838,22,0.753691,"Recommendation Systems Engineer with 4.9 years in Kochi, Kerala; semantic search, recommendation, ranking plus Vector Search, Semantic Search, Milvus. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; active 71d ago)."
CAND_0011162,23,0.748422,"Recommendation Systems Engineer with 5.8 years in Coimbatore, Tamil Nadu; retrieval, recommendation, ranking plus Vector Search, Sentence Transformers, Embeddings. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0036184,24,0.740145,"Recommendation Systems Engineer with 6.0 years in Trivandrum, Kerala; retrieval, semantic search, recommendation plus Semantic Search, Embeddings, Vector Search. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; active 36d ago)."
CAND_0007009,25,0.730271,"Recommendation Systems Engineer with 7.9 years in Noida, Uttar Pradesh; retrieval, semantic search, recommendation plus Embeddings, Sentence Transformers, Python. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; 30d notice)."
CAND_0083307,26,0.726610,"Search Engineer with 7.8 years in Vizag, Andhra Pradesh; retrieval, semantic search, recommendation plus Vector Search, Semantic Search, Embeddings. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; 70% recruiter response)."
CAND_0084819,27,0.716431,"Search Engineer with 4.5 years in Indore, Madhya Pradesh; retrieval, recommendation, ranking plus Information Retrieval, Recommendation Systems, Sentence Transformers. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; active 53d ago)."
CAND_0089552,28,0.713445,"Machine Learning Engineer with 6.0 years in Kolkata, West Bengal; semantic search, recommendation, ranking plus Semantic Search, Vector Search, Sentence Transformers. Fits the JD through applied ML title, product-company exposure, and availability signals (relocation ok; active 65d ago)."
CAND_0039383,29,0.713061,"Applied ML Engineer with 7.1 years in Gurgaon, Haryana; retrieval, semantic search, recommendation plus Vector Search, Recommendation Systems, FAISS. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0030031,30,0.706757,"AI Engineer with 5.7 years in Trivandrum, Kerala; recommendation, ranking, embedd plus Vector Search, Information Retrieval, RAG. Fits the JD through applied ML title, product-company exposure, and availability signals (active 40d ago; 94% recruiter response)."
CAND_0062247,31,0.700495,"AI Engineer with 7.3 years in Kochi, Kerala; retrieval, semantic search, recommendation plus Vector Search, Information Retrieval, Pinecone. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0054394,32,0.700115,"Recommendation Systems Engineer with 4.1 years in Pune, Maharashtra; retrieval, semantic search, recommendation plus Embeddings, Pinecone, Fine-tuning LLMs. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; active 58d ago)."
CAND_0053695,33,0.699282,"Recommendation Systems Engineer with 5.8 years in Bhubaneswar, Odisha; retrieval, semantic search, recommendation plus Recommendation Systems, Embeddings, Pinecone. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; 15d notice)."
CAND_0045250,34,0.698242,"Applied ML Engineer with 6.6 years in Delhi, Delhi; retrieval, recommendation, ranking plus Vector Search, Embeddings, Sentence Transformers. Fits the JD through applied ML title, product-company exposure, and availability signals (active 63d ago; 74% recruiter response)."
CAND_0020708,35,0.697637,"Search Engineer with 4.2 years in Indore, Madhya Pradesh; retrieval, semantic search, recommendation plus Sentence Transformers, Milvus, Python. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; 84% recruiter response)."
CAND_0054123,36,0.689483,"Applied ML Engineer with 4.7 years in Gurgaon, Haryana; retrieval, semantic search, recommendation plus Vector Search, Semantic Search, LLMs. Fits the JD through applied ML title, product-company exposure, and availability signals (active 54d ago; 87% recruiter response)."
CAND_0051292,37,0.684860,"Applied ML Engineer with 5.2 years in Trivandrum, Kerala; retrieval, semantic search, recommendation plus Vector Search, RAG, NLP. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; 30d notice)."
CAND_0064326,38,0.682655,"Search Engineer with 7.6 years in Gurgaon, Haryana; retrieval, recommendation, ranking plus Semantic Search, RAG, Python. Fits the JD through retrieval/recommendation title, product-company exposure, and availability signals (open to work; active 41d ago)."
CAND_0079387,39,0.681284,"AI Engineer with 6.9 years in Trivandrum, Kerala; retrieval, semantic search, recommendation plus Vector Search, Recommendation Systems, Sentence Transformers. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; active 67d ago)."
CAND_0009691,40,0.680503,"Applied ML Engineer with 6.2 years in Indore, Madhya Pradesh; semantic search, recommendation, ranking plus Recommendation Systems, Sentence Transformers, FAISS. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0052682,41,0.675641,"NLP Engineer with 6.6 years in Vizag, Andhra Pradesh; recommendation, ranking, embedd plus Embeddings, Semantic Search, Python. Fits the JD through ML/NLP title, product-company exposure, and availability signals (open to work; 88% recruiter response)."
CAND_0069905,42,0.674714,"Applied ML Engineer with 6.6 years in Bhubaneswar, Odisha; retrieval, semantic search, recommendation plus Recommendation Systems, Sentence Transformers, Python. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
CAND_0027691,43,0.673221,"NLP Engineer with 6.5 years in Pune, Maharashtra; retrieval, semantic search, recommendation plus Semantic Search, Recommendation Systems, Embeddings. Fits the JD through ML/NLP title, product-company exposure, and availability signals (open to work; 68% recruiter response)."
CAND_0083879,44,0.668176,"Machine Learning Engineer with 7.1 years in Noida, Uttar Pradesh; retrieval, semantic search, recommendation plus Sentence Transformers, Milvus, Fine-tuning LLMs. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; active 75d ago)."
CAND_0049896,45,0.663055,"Search Engineer with 7.3 years in Vizag, Andhra Pradesh; retrieval, recommendation, ranking plus Information Retrieval, Vector Search, Sentence Transformers. Fits the JD through retrieval/recommendation title, some relevant industry exposure, and availability signals (open to work; relocation ok)."
CAND_0058575,46,0.661664,"AI Engineer with 5.8 years in Chennai, Tamil Nadu; retrieval, semantic search, recommendation plus Recommendation Systems, Sentence Transformers, Pinecone. Fits the JD through applied ML title, product-company exposure, and availability signals (open to work; relocation ok)."
